DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,MD1,SA1,UA1,REM
01-09T09:00:00,4,54.1,-3.6,0.0,"ENVIRONM BUOY 62302, UK",FM-18,DB68 ,V020,"270,1,N,0108,1","99999,9,9,N","999999,9,N,1","+0085,1","+0052,1","09994,1","2,1,022,1,+999,9","+091,9","M,07,035,9,99,9",SYN106BBXX  62302 09094 99524 70047 46/// /2721 10085 20052 49994 52022 22200 00091 10707 /0034 333 90710 91135;
09-07T18:00:00,4,54.1,-3.6,0.0,"ENVIRONM BUOY 62302, UK",FM-18,DB68 ,V020,"050,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0188,1","+0141,1","10320,1","7,1,002,1,+999,9","+169,9","M,04,010,9,99,9",SYN090BBXX  62302 07184 99524 70047 46/// /0512 10188 20141 40320 57002 22200 00169 10402 70009;
