DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AW1,REM
06-01T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0154,1","+0011,1","99999,9",,SYN042AAXX  01091 02602 45/// /0000 10154 20011;
06-01T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0179,1","+0017,1","99999,9",,SYN042AAXX  01121 02602 45/// /0000 10179 20017;
06-01T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0181,1","+0018,1","99999,9",,SYN042AAXX  01151 02602 45/// /2301 10181 20018;
06-01T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0143,1","+0012,1","99999,9",,SYN042AAXX  01181 02602 45/// /2301 10143 20012;
06-01T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0070,1","+0036,1","99999,9",,SYN042AAXX  01211 02602 45/// /0000 10070 20036;
06-02T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0029,1","+0018,1","99999,9",,SYN042AAXX  02001 02602 45/// /0000 10029 20018;
06-02T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0067,1","+0011,1","99999,9",,SYN042AAXX  02031 02602 45/// /0000 10067 20011;
06-02T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0136,1","+0009,1","99999,9",,SYN042AAXX  02061 02602 45/// /0000 10136 20009;
06-02T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0209,1","+0029,1","99999,9",,SYN042AAXX  02121 02602 45/// /0000 10209 20029;
06-02T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0204,1","+0020,1","99999,9",,SYN042AAXX  02151 02602 45/// /0501 10204 20020;
06-02T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0146,1","+0053,1","99999,9",,SYN042AAXX  02181 02602 45/// /0000 10146 20053;
06-02T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0078,1","+0055,1","99999,9",,SYN042AAXX  02211 02602 45/// /0000 10078 20055;
06-03T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0060,1","+0042,1","99999,9",,SYN042AAXX  03001 02602 45/// /1801 10060 20042;
06-03T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0042,1","+0036,1","99999,9",,SYN042AAXX  03031 02602 45/// /2301 10042 20036;
06-03T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0166,1","+0039,1","99999,9",,SYN042AAXX  03061 02602 45/// /0000 10166 20039;
06-03T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0177,1","+0057,1","99999,9",,SYN042AAXX  03091 02602 45/// /0000 10177 20057;
06-03T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0186,1","+0051,1","99999,9",,SYN042AAXX  03121 02602 45/// /0000 10186 20051;
06-03T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0152,1","+0042,1","99999,9",,SYN042AAXX  03181 02602 45/// /0000 10152 20042;
06-03T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0085,1","+0073,1","99999,9",,SYN042AAXX  03211 02602 45/// /0000 10085 20073;
06-04T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0082,1","+0067,1","99999,9",,SYN042AAXX  04001 02602 45/// /0000 10082 20067;
06-04T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0076,1","+0061,1","99999,9",,SYN042AAXX  04031 02602 45/// /0000 10076 20061;
06-04T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0151,1","+0046,1","99999,9",,SYN042AAXX  04061 02602 45/// /0000 10151 20046;
06-04T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0175,1","+0077,1","99999,9",,SYN042AAXX  04091 02602 45/// /1801 10175 20077;
06-04T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0148,1","+0086,1","99999,9",,SYN042AAXX  04121 02602 45/// /0000 10148 20086;
06-04T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0140,1","+0109,1","99999,9",,SYN042AAXX  04151 02602 45/// /0000 10140 20109;
06-04T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0110,1","+0105,1","99999,9",,SYN042AAXX  04211 02602 45/// /0000 10110 20105;
06-05T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0106,1","+0101,1","99999,9",,SYN042AAXX  05001 02602 45/// /0000 10106 20101;
06-05T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0069,1","+0065,1","99999,9",,SYN042AAXX  05031 02602 45/// /0000 10069 20065;
06-05T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0128,1","+0112,1","99999,9",,SYN042AAXX  05061 02602 45/// /0000 10128 20112;
