DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AW1,MW1,REM,EQD
01-01T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0071,1","-0082,1","99999,9","70,1",,SYN048AAXX  01001 02602 47/// /1802 11071 21082 770//;,
01-01T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0051,1","-0071,1","99999,9",,,SYN042AAXX  01031 02602 45/// /1802 11051 21071;,
01-01T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0076,1","-0090,1","99999,9",,,SYN042AAXX  01061 02602 45/// /1802 11076 21090;,
01-01T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0079,1","-0088,1","99999,9",,,SYN042AAXX  01091 02602 45/// /1802 11079 21088;,
01-01T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0050,1","-0084,1","99999,9",,,SYN042AAXX  01121 02602 45/// /1802 11050 21084;,
01-01T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0066,1","-0082,1","99999,9",,,SYN042AAXX  01151 02602 45/// /1802 11066 21082;,
01-01T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0061,1","-0073,1","99999,9",,,SYN042AAXX  01181 02602 45/// /1802 11061 21073;,
01-01T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0062,1","-0072,1","99999,9",,,SYN042AAXX  01211 02602 45/// /0000 11062 21072;,
01-02T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0067,1","-0074,1","99999,9",,,SYN042AAXX  02001 02602 45/// /0502 11067 21074;,
01-02T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0058,1","-0064,1","99999,9",,,SYN042AAXX  02031 02602 45/// /0502 11058 21064;,
01-02T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0048,1","-0054,1","99999,9",,,SYN042AAXX  02061 02602 45/// /0502 11048 21054;,
01-02T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0046,1","-0052,1","99999,9",,,SYN042AAXX  02091 02602 45/// /0502 11046 21052;,
01-02T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0044,1","-0050,1","99999,9",,,SYN042AAXX  02121 02602 45/// /3603 11044 21050;,
01-02T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0040,1","-0050,1","99999,9",,,SYN042AAXX  02151 02602 46/// /0502 11040 21050;,
01-02T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0045,1","-0065,1","99999,9",,,SYN042AAXX  02181 02602 46/// /0502 11045 21065;,
01-02T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0054,1","-0064,1","99999,9",,,SYN042AAXX  02211 02602 46/// /3602 11054 21064;,
01-03T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0054,1","-0063,1","99999,9",,,SYN042AAXX  03001 02602 46/// /3602 11054 21063;,
01-03T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0047,1","-0060,1","99999,9",,,SYN042AAXX  03031 02602 46/// /0502 11047 21060;,
01-03T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0061,1","-0075,1","99999,9",,,SYN042AAXX  03061 02602 46/// /3602 11061 21075;,
01-03T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0070,1","-0086,1","99999,9","70,1",,SYN048AAXX  03091 02602 47/// /3603 11070 21086 770//;,
01-03T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0078,1","-0091,1","99999,9","70,1",,SYN048AAXX  03121 02602 47/// /3603 11078 21091 770//;,
01-03T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0083,1","-0099,1","99999,9",,,SYN042AAXX  03151 02602 45/// /0502 11083 21099;,
01-03T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0082,1","-0098,1","99999,9",,,SYN042AAXX  03181 02602 45/// /0502 11082 21098;,
01-03T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0089,1","-0104,1","99999,9",,,SYN042AAXX  03211 02602 45/// /3603 11089 21104;,
01-04T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0095,1","-0102,1","99999,9","70,1",,SYN048AAXX  04001 02602 47/// /3603 11095 21102 770//;,
01-04T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0113,1","-0120,1","99999,9",,,SYN042AAXX  04031 02602 45/// /3602 11113 21120;,
01-04T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0134,1","-0142,1","99999,9",,,SYN042AAXX  04061 02602 45/// /3601 11134 21142;,
01-04T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0136,1","-0144,1","99999,9",,,SYN042AAXX  04091 02602 45/// /3602 11136 21144;,
01-04T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0112,1","-0125,1","99999,9",,,SYN042AAXX  04121 02602 45/// /3601 11112 21125;,
01-04T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0131,1","-0140,1","99999,9",,,SYN042AAXX  04151 02602 45/// /0000 11131 21140;,
01-04T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0166,1","-0175,1","99999,9",,,SYN042AAXX  04181 02602 45/// /0000 11166 21175;,
01-04T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0171,1","-0180,1","99999,9",,,SYN042AAXX  04211 02602 45/// /1801 11171 21180;,
01-05T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0166,1","-0175,1","99999,9",,,SYN042AAXX  05001 02602 45/// /1801 11166 21175;,
01-05T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0106,1","-0114,1","99999,9","70,1",,SYN048AAXX  05031 02602 47/// /1803 11106 21114 770//;,
01-05T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0050,1","99999,9,9,N","999999,9,N,1","-0093,1","-0100,1","99999,9","70,1",,SYN048AAXX  05061 02602 47/// /1805 11093 21100 770//;,
01-05T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0050,1","99999,9,9,N","999999,9,N,1","-0078,1","-0085,1","99999,9",,,SYN042AAXX  05091 02602 45/// /1805 11078 21085;,
