DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,MD1,SA1,UA1,REM
07-31T12:00:00,4,54.1,-3.6,0.0,"ENVIRONM BUOY 62302, UK",FM-18,DB68 ,V020,"200,1,N,0093,1","99999,9,9,N","999999,9,N,1","+0149,1","+0136,1","10145,1",,"+154,9","M,04,010,9,99,9",SYN078BBXX  62302 31123 99524 70047 46/// /2018 10149 20136 40145 22200 00154 10402;
09-12T06:00:00,4,54.1,-3.6,0.0,"ENVIRONM BUOY 62302, UK",FM-18,DB68 ,V020,"340,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0150,1","+0114,1","10301,1",,"+162,9","M,05,010,9,99,9",SYN078BBXX  62302 12063 99524 70047 46/// /3408 10150 20114 40301 22200 00162 10502;
10-13T21:00:00,4,54.1,-3.6,0.0,"ENVIRONM BUOY 62302, UK",FM-18,DB68 ,V020,"100,1,N,0046,1","99999,9,9,N","999999,9,N,1","+0145,1","+0116,1","10208,1","2,1,006,1,+999,9","+148,9","M,05,005,9,99,9",SYN090BBXX  62302 13214 99524 70047 46/// /1009 10145 20116 40208 52006 22200 00148 10501 70007;
