DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,MA1,REM,EQD
01-01T23:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"210,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0003,1","+9999,9","99999,9","99999,9,09631,1",SYN054AAXX  01231 89266 46/// /2102 10003 39631 4//// 5////;,
01-02T00:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"220,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0015,1","+9999,9","99999,9","99999,9,09635,1",SYN054AAXX  02001 89266 46/// /2201 11015 39635 4//// 5////;,
01-02T02:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"220,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0020,1","+9999,9","99999,9","99999,9,09635,1",SYN054AAXX  02021 89266 46/// /2201 11020 39635 4//// 5////;,
01-02T05:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0029,1","+9999,9","99999,9","99999,9,09637,1",SYN054AAXX  02051 89266 46/// /1802 11029 39637 4//// 5////;,
01-02T14:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"160,1,N,0030,1","99999,9,9,N","999999,9,N,1","+9999,9","+9999,9","99999,9","99999,9,09646,1",SYN048AAXX  02141 89266 46/// /1603 39646 4//// 5////;,
01-02T16:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0040,1","99999,9,9,N","999999,9,N,1","+0003,1","+9999,9","99999,9","99999,9,09647,1",SYN054AAXX  02161 89266 46/// /1704 10003 39647 4//// 5////;,
01-02T17:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0004,1","+9999,9","99999,9","99999,9,09647,1",SYN054AAXX  02171 89266 46/// /1703 10004 39647 4//// 5////;,
01-02T19:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"190,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0011,1","+9999,9","99999,9","99999,9,09648,1",SYN054AAXX  02191 89266 46/// /1903 10011 39648 4//// 5////;,
01-02T21:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"180,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0004,1","+9999,9","99999,9","99999,9,09649,1",SYN054AAXX  02211 89266 46/// /1803 10004 39649 4//// 5////;,
01-02T23:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"190,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0001,1","+9999,9","99999,9","99999,9,09649,1",SYN054AAXX  02231 89266 46/// /1902 11001 39649 4//// 5////;,
01-03T00:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"190,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0009,1","+9999,9","99999,9","99999,9,09650,1",SYN054AAXX  03001 89266 46/// /1902 11009 39650 4//// 5////;,
01-03T02:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"210,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0016,1","+9999,9","99999,9","99999,9,09651,1",SYN054AAXX  03021 89266 46/// /2101 11016 39651 4//// 5////;,
01-03T04:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"240,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0026,1","+9999,9","99999,9","99999,9,09649,1",SYN054AAXX  03041 89266 46/// /2401 11026 39649 4//// 5////;,
01-03T05:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"260,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0030,1","+9999,9","99999,9","99999,9,09648,1",SYN054AAXX  03051 89266 46/// /2601 11030 39648 4//// 5////;,
01-03T07:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0015,1","+9999,9","99999,9","99999,9,09649,1",SYN054AAXX  03071 89266 46/// /2600 11015 39649 4//// 5////;,
01-03T08:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"290,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0006,1","+9999,9","99999,9","99999,9,09649,1",SYN054AAXX  03081 89266 46/// /2901 11006 39649 4//// 5////;,
01-03T10:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0034,1","+9999,9","99999,9","99999,9,09651,1",SYN054AAXX  03101 89266 46/// /29// 10034 39651 4//// 5////;,
01-03T12:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0051,1","+9999,9","99999,9","99999,9,09652,1",SYN054AAXX  03121 89266 46/// /3000 10051 39652 4//// 5////;,
01-03T14:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+9999,9","+9999,9","99999,9",,SYN042AAXX  03141 89266 46/// /33// 4//// 5////;,
01-03T15:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"010,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0043,1","+9999,9","99999,9","99999,9,09655,1",SYN054AAXX  03151 89266 46/// /0101 10043 39655 4//// 5////;,
01-03T16:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0030,1","+9999,9","99999,9","99999,9,09655,1",SYN054AAXX  03161 89266 46/// ///01 10030 39655 4//// 5////;,
01-04T00:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"350,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0016,1","+9999,9","99999,9","99999,9,09659,1",SYN054AAXX  04001 89266 46/// /3502 11016 39659 4//// 5////;,
01-04T02:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"340,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0029,1","+9999,9","99999,9","99999,9,09660,1",SYN054AAXX  04021 89266 46/// /3402 11029 39660 4//// 5////;,
01-04T03:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"340,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0035,1","+9999,9","99999,9","99999,9,09662,1",SYN054AAXX  04031 89266 46/// /3403 11035 39662 4//// 5////;,
01-04T05:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"350,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","99999,9,09662,1",SYN054AAXX  04051 89266 46/// /3502 11040 39662 4//// 5////;,
01-04T06:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","99999,9","99999,9,09663,1",SYN054AAXX  04061 89266 46/// ///03 11038 39663 4//// 5////;,
01-04T07:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","99999,9","99999,9,09663,1",SYN054AAXX  04071 89266 46/// ///03 11038 39663 4//// 5////;,
01-04T08:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0033,1","+9999,9","99999,9","99999,9,09666,1",SYN054AAXX  04081 89266 46/// /3602 11033 39666 4//// 5////;,
01-04T10:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"350,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0010,1","+9999,9","99999,9","99999,9,09669,1",SYN054AAXX  04101 89266 46/// /3502 11010 39669 4//// 5////;,
01-04T11:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"010,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0000,1","+9999,9","99999,9","99999,9,09672,1",SYN054AAXX  04111 89266 46/// /0102 10000 39672 4//// 5////;,
01-04T13:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"020,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0001,1","+9999,9","99999,9","99999,9,09673,1",SYN054AAXX  04131 89266 46/// /0203 11001 39673 4//// 5////;,
01-04T14:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0004,1","+9999,9","99999,9","99999,9,09675,1",SYN054AAXX  0414/ 89266 46/// ///// 10004 39675 4//// 5////;,
01-04T15:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"010,1,N,0040,1","99999,9,9,N","999999,9,N,1","+0008,1","+9999,9","99999,9","99999,9,09675,1",SYN054AAXX  04151 89266 46/// /0104 10008 39675 4//// 5////;,
